_id,Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
2221,201708,N121H,267,"",19,"",10,"",5,"",3,"",1,""
2222,201709,N121H,229,"",13,"",4,"",6,"",0,"",3,""
2223,201710,N121H,256,"",19,"",13,"",3,"",2,"",1,""
2224,201711,N121H,273,"",21,"",7,"",10,"",3,"",1,""
2225,201712,N121H,216,"",14,"",10,"",2,"",2,"",0,""
2226,201801,N121H,290,"",26,"",16,"",5,"",5,"",0,""
2227,201802,N121H,271,"",22,"",16,"",6,"",0,"",0,""
2228,201803,N121H,299,"",29,"",17,"",4,"",5,"",3,""
2229,201804,N121H,269,"",20,"",14,"",5,"",1,"",0,""
2230,201805,N121H,261,"",14,"",6,"",4,"",2,"",2,""
2231,201806,N121H,256,"",17,"",9,"",4,"",3,"",1,""
2232,201807,N121H,243,"",14,"",13,"",1,"",0,"",0,""
2233,201808,N121H,276,"",18,"",12,"",6,"",0,"",0,""
2234,201809,N121H,240,"",20,"",14,"",6,"",0,"",0,""
2235,201810,N121H,300,"",23,"",13,"",9,"",1,"",0,""
2236,201811,N121H,323,"",23,"",17,"",4,"",0,"",2,""
2237,201812,N121H,218,"",17,"",14,"",2,"",1,"",0,""
2238,201901,N121H,331,"",37,"",26,"",5,"",1,"",5,""
2239,201902,N121H,276,"",24,"",9,"",3,"",12,"",0,""
2240,201903,N121H,281,"",19,"",10,"",8,"",0,"",1,""
2241,201904,N121H,278,"",15,"",13,"",2,"",0,"",0,""
2242,201905,N121H,305,"",14,"",10,"",3,"",0,"",1,""
2243,201906,N121H,282,"",26,"",15,"",7,"",3,"",1,""
2244,201907,N121H,295,"",13,"",9,"",4,"",0,"",0,""
2245,201908,N121H,277,"",16,"",10,"",6,"",0,"",0,""
2246,201909,N121H,281,"",23,"",16,"",3,"",3,"",1,""
2247,201910,N121H,300,"",24,"",13,"",4,"",7,"",0,""
2248,201911,N121H,270,"",18,"",12,"",6,"",0,"",0,""
2249,201912,N121H,251,"",46,"",15,"",14,"",15,"",2,""
2250,202001,N121H,250,"",18,"",14,"",2,"",0,"",2,""
2251,202002,N121H,295,"",19,"",11,"",7,"",0,"",1,""
2252,202003,N121H,162,"",13,"",7,"",6,"",0,"",0,""
2253,202004,N121H,49,"",3,"",1,"",2,"",0,"",0,""
2254,202005,N121H,29,"",1,"",1,"",0,"",0,"",0,""
2255,202006,N121H,62,"",1,"",1,"",0,"",0,"",0,""
2256,202007,N121H,103,"",6,"",1,"",3,"",2,"",0,""
2257,202008,N121H,147,"",11,"",2,"",5,"",4,"",0,""
2258,202009,N121H,121,"",12,"",3,"",6,"",3,"",0,""
2259,202010,N121H,139,"",5,"",4,"",0,"",0,"",1,""
2260,202011,N121H,129,"",3,"",2,"",1,"",0,"",0,""
2261,202012,N121H,157,"",9,"",4,"",5,"",0,"",0,""
2262,202101,N121H,130,"",9,"",3,"",0,"",6,"",0,""
2263,202102,N121H,136,"",5,"",5,"",0,"",0,"",0,""
2264,202103,N121H,159,"",7,"",4,"",1,"",2,"",0,""
2265,202104,N121H,156,"",11,"",3,"",2,"",4,"",2,""
2266,202105,N121H,98,"",4,"",2,"",1,"",1,"",0,""
2267,202106,N121H,137,"",5,"",2,"",2,"",1,"",0,""
2268,202107,N121H,166,"",10,"",2,"",2,"",6,"",0,""
2269,202108,N121H,110,"",12,"",5,"",1,"",5,"",1,""
2270,202109,N121H,150,"",39,"",11,"",2,"",21,"",5,""
2271,202110,N121H,140,"",18,"",8,"",8,"",2,"",0,""
2272,202111,N121H,183,"",27,"",11,"",3,"",12,"",1,""
2273,202112,N121H,179,"",12,"",5,"",1,"",5,"",1,""
2274,202201,N121H,161,"",26,"",8,"",2,"",12,"",4,""
2275,202202,N121H,155,"",12,"",8,"",2,"",2,"",0,""
2276,202203,N121H,190,"",22,"",7,"",2,"",12,"",1,""
2277,202204,N121H,178,"",46,"",15,"",2,"",25,"",4,""
2278,202205,N121H,189,"",33,"",8,"",2,"",19,"",4,""
2279,202206,N121H,135,"",24,"",7,"",2,"",15,"",0,""
2280,202207,N121H,112,"",7,"",2,"",2,"",3,"",0,""
2281,202208,N121H,112,"",21,"",2,"",6,"",13,"",0,""
2282,202209,N121H,112,"",16,"",5,"",6,"",4,"",1,""
2283,202210,N121H,135,"",19,"",5,"",2,"",12,"",0,""
2284,202211,N121H,118,"",6,"",2,"",2,"",2,"",0,""
2285,202212,N121H,171,"",18,"",9,"",6,"",3,"",0,""
2286,201505,N161H,84,"",1,"",1,"",0,"",0,"",0,""
2287,201506,N161H,97,"",1,"",0,"",0,"",0,"",1,""
2288,201507,N161H,83,"",0,"",0,"",0,"",0,"",0,""
2289,201508,N161H,102,"",1,"",0,"",1,"",0,"",0,""
2290,201509,N161H,91,"",2,"",0,"",0,"",1,"",1,""
2291,201510,N161H,91,"",2,"",1,"",0,"",0,"",1,""
2292,201511,N161H,81,"",0,"",0,"",0,"",0,"",0,""
2293,201512,N161H,94,"",0,"",0,"",0,"",0,"",0,""
2294,201601,N161H,84,"",0,"",0,"",0,"",0,"",0,""
2295,201602,N161H,87,"",0,"",0,"",0,"",0,"",0,""
2296,201603,N161H,82,"",1,"",1,"",0,"",0,"",0,""
2297,201604,N161H,69,"",0,"",0,"",0,"",0,"",0,""
2298,201605,N161H,108,"",0,"",0,"",0,"",0,"",0,""
2299,201606,N161H,18,"",0,"",0,"",0,"",0,"",0,""
2300,201607,N161H,16,"",0,"",0,"",0,"",0,"",0,""
2301,201608,N161H,26,"",0,"",0,"",0,"",0,"",0,""
2302,201609,N161H,24,"",0,"",0,"",0,"",0,"",0,""
2303,201610,N161H,19,"",0,"",0,"",0,"",0,"",0,""
2304,201611,N161H,21,"",0,"",0,"",0,"",0,"",0,""
2305,201612,N161H,19,"",0,"",0,"",0,"",0,"",0,""
2306,201701,N161H,16,"",0,"",0,"",0,"",0,"",0,""
2307,201702,N161H,21,"",1,"",0,"",1,"",0,"",0,""
2308,201703,N161H,26,"",0,"",0,"",0,"",0,"",0,""
2309,201704,N161H,17,"",1,"",1,"",0,"",0,"",0,""
2310,201705,N161H,21,"",0,"",0,"",0,"",0,"",0,""
2311,201706,N161H,17,"",0,"",0,"",0,"",0,"",0,""
2312,201707,N161H,26,"",0,"",0,"",0,"",0,"",0,""
2313,201708,N161H,22,"",1,"",1,"",0,"",0,"",0,""
2314,201709,N161H,20,"",0,"",0,"",0,"",0,"",0,""
2315,201710,N161H,17,"",0,"",0,"",0,"",0,"",0,""
2316,201711,N161H,22,"",0,"",0,"",0,"",0,"",0,""
2317,201712,N161H,16,"",1,"",1,"",0,"",0,"",0,""
2318,201801,N161H,13,"",0,"",0,"",0,"",0,"",0,""
2319,201802,N161H,17,"",2,"",0,"",1,"",0,"",1,""
2320,201803,N161H,16,"",0,"",0,"",0,"",0,"",0,""
2321,201804,N161H,24,"",1,"",0,"",0,"",0,"",1,""
2322,201805,N161H,21,"",0,"",0,"",0,"",0,"",0,""
2323,201806,N161H,10,"",0,"",0,"",0,"",0,"",0,""
2324,201807,N161H,15,"",0,"",0,"",0,"",0,"",0,""
2325,201808,N161H,13,"",0,"",0,"",0,"",0,"",0,""
2326,201809,N161H,15,"",1,"",1,"",0,"",0,"",0,""
2327,201810,N161H,18,"",0,"",0,"",0,"",0,"",0,""
2328,201811,N161H,22,"",0,"",0,"",0,"",0,"",0,""
2329,201812,N161H,11,"",0,"",0,"",0,"",0,"",0,""
2330,201901,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2331,201902,N161H,17,"",0,"",0,"",0,"",0,"",0,""
2332,201903,N161H,13,"",0,"",0,"",0,"",0,"",0,""
2333,201904,N161H,13,"",0,"",0,"",0,"",0,"",0,""
2334,201905,N161H,15,"",0,"",0,"",0,"",0,"",0,""
2335,201906,N161H,17,"",0,"",0,"",0,"",0,"",0,""
2336,201907,N161H,21,"",0,"",0,"",0,"",0,"",0,""
2337,201908,N161H,16,"",0,"",0,"",0,"",0,"",0,""
2338,201909,N161H,10,"",0,"",0,"",0,"",0,"",0,""
2339,201910,N161H,19,"",1,"",0,"",1,"",0,"",0,""
2340,201911,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2341,201912,N161H,12,"",0,"",0,"",0,"",0,"",0,""
2342,202001,N161H,20,"",1,"",0,"",1,"",0,"",0,""
2343,202002,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2344,202003,N161H,10,"",0,"",0,"",0,"",0,"",0,""
2345,202004,N161H,5,"",0,"",0,"",0,"",0,"",0,""
2346,202005,N161H,7,"",0,"",0,"",0,"",0,"",0,""
2347,202006,N161H,5,"",0,"",0,"",0,"",0,"",0,""
2348,202007,N161H,10,"",1,"",0,"",1,"",0,"",0,""
2349,202008,N161H,10,"",2,"",2,"",0,"",0,"",0,""
2350,202009,N161H,9,"",0,"",0,"",0,"",0,"",0,""
2351,202010,N161H,14,"",1,"",0,"",1,"",0,"",0,""
2352,202011,N161H,18,"",0,"",0,"",0,"",0,"",0,""
2353,202012,N161H,11,"",0,"",0,"",0,"",0,"",0,""
2354,202101,N161H,11,"",0,"",0,"",0,"",0,"",0,""
2355,202102,N161H,8,"",0,"",0,"",0,"",0,"",0,""
2356,202103,N161H,15,"",0,"",0,"",0,"",0,"",0,""
2357,202104,N161H,6,"",0,"",0,"",0,"",0,"",0,""
2358,202105,N161H,13,"",0,"",0,"",0,"",0,"",0,""
2359,202106,N161H,5,"",0,"",0,"",0,"",0,"",0,""
2360,202107,N161H,11,"",0,"",0,"",0,"",0,"",0,""
2361,202108,N161H,19,"",1,"",0,"",1,"",0,"",0,""
2362,202109,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2363,202110,N161H,7,"",0,"",0,"",0,"",0,"",0,""
2364,202111,N161H,3,"",0,"",0,"",0,"",0,"",0,""
2365,202112,N161H,11,"",0,"",0,"",0,"",0,"",0,""
2366,202201,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2367,202202,N161H,10,"",0,"",0,"",0,"",0,"",0,""
2368,202203,N161H,14,"",0,"",0,"",0,"",0,"",0,""
2369,202204,N161H,12,"",0,"",0,"",0,"",0,"",0,""
2370,202205,N161H,18,"",0,"",0,"",0,"",0,"",0,""
2371,202206,N161H,6,"",0,"",0,"",0,"",0,"",0,""
2372,202207,N161H,8,"",0,"",0,"",0,"",0,"",0,""
2373,202208,N161H,12,"",0,"",0,"",0,"",0,"",0,""
2374,202209,N161H,16,"",0,"",0,"",0,"",0,"",0,""
2375,202210,N161H,12,"",0,"",0,"",0,"",0,"",0,""
2376,202211,N161H,17,"",0,"",0,"",0,"",0,"",0,""
2377,202212,N161H,12,"",0,"",0,"",0,"",0,"",0,""
2378,201505,N411H,697,"",44,"",28,"",11,"",5,"",0,""
2379,201506,N411H,746,"",56,"",26,"",19,"",3,"",8,""
2380,201507,N411H,544,"",47,"",28,"",16,"",3,"",0,""
2381,201508,N411H,545,"",37,"",20,"",7,"",8,"",2,""
2382,201509,N411H,664,"",43,"",26,"",16,"",0,"",1,""
2383,201510,N411H,614,"",49,"",25,"",16,"",8,"",0,""
2384,201511,N411H,602,"",43,"",20,"",14,"",9,"",0,""
2385,201512,N411H,627,"",40,"",23,"",12,"",1,"",4,""
2386,201601,N411H,561,"",41,"",21,"",16,"",4,"",0,""
2387,201602,N411H,629,"",60,"",22,"",24,"",12,"",2,""
2388,201603,N411H,738,"",57,"",38,"",14,"",5,"",0,""
2389,201604,N411H,608,"",35,"",19,"",10,"",4,"",2,""
2390,201605,N411H,652,"",65,"",42,"",19,"",3,"",1,""
2391,201606,N411H,705,"",53,"",32,"",16,"",5,"",0,""
2392,201607,N411H,467,"",39,"",17,"",7,"",14,"",1,""
2393,201608,N411H,551,"",37,"",24,"",9,"",4,"",0,""
2394,201609,N411H,596,"",37,"",21,"",11,"",4,"",1,""
2395,201610,N411H,493,"",29,"",23,"",3,"",0,"",3,""
2396,201611,N411H,673,"",33,"",21,"",12,"",0,"",0,""
2397,201612,N411H,571,"",57,"",29,"",20,"",8,"",0,""
2398,201701,N411H,548,"",42,"",28,"",8,"",6,"",0,""
2399,201702,N411H,591,"",55,"",26,"",13,"",16,"",0,""
2400,201703,N411H,642,"",47,"",15,"",12,"",18,"",2,""
2401,201704,N411H,544,"",37,"",21,"",10,"",3,"",3,""
2402,201705,N411H,669,"",47,"",26,"",16,"",3,"",2,""
2403,201706,N411H,606,"",41,"",25,"",13,"",3,"",0,""
2404,201707,N411H,539,"",30,"",12,"",16,"",1,"",1,""
2405,201708,N411H,641,"",53,"",22,"",19,"",10,"",2,""
2406,201709,N411H,621,"",62,"",25,"",18,"",19,"",0,""
2407,201710,N411H,542,"",44,"",19,"",9,"",15,"",1,""
2408,201711,N411H,626,"",54,"",24,"",16,"",14,"",0,""
2409,201712,N411H,572,"",45,"",27,"",10,"",8,"",0,""
2410,201801,N411H,523,"",37,"",22,"",11,"",3,"",1,""
2411,201802,N411H,564,"",42,"",29,"",11,"",2,"",0,""
2412,201803,N411H,644,"",60,"",31,"",7,"",16,"",6,""
2413,201804,N411H,565,"",89,"",14,"",7,"",67,"",1,""
2414,201805,N411H,748,"",52,"",26,"",19,"",7,"",0,""
2415,201806,N411H,648,"",47,"",26,"",14,"",6,"",1,""
2416,201807,N411H,690,"",46,"",23,"",11,"",10,"",2,""
2417,201808,N411H,739,"",47,"",29,"",3,"",12,"",3,""
2418,201809,N411H,568,"",38,"",18,"",6,"",8,"",6,""
2419,201810,N411H,728,"",62,"",32,"",17,"",10,"",3,""
2420,201811,N411H,815,"",50,"",24,"",19,"",5,"",2,""
2421,201812,N411H,718,"",48,"",24,"",14,"",9,"",1,""
2422,201901,N411H,747,"",53,"",31,"",13,"",5,"",4,""
2423,201902,N411H,695,"",47,"",16,"",13,"",17,"",1,""
2424,201903,N411H,779,"",35,"",25,"",7,"",2,"",1,""
2425,201904,N411H,703,"",42,"",25,"",10,"",7,"",0,""
2426,201905,N411H,735,"",34,"",19,"",10,"",1,"",4,""
2427,201906,N411H,742,"",44,"",27,"",10,"",6,"",1,""
2428,201907,N411H,738,"",60,"",36,"",16,"",3,"",5,""
2429,201908,N411H,747,"",47,"",28,"",13,"",1,"",5,""
2430,201909,N411H,686,"",48,"",25,"",10,"",11,"",2,""
2431,201910,N411H,725,"",34,"",23,"",5,"",4,"",2,""
2432,201911,N411H,652,"",47,"",25,"",9,"",11,"",2,""
2433,201912,N411H,667,"",56,"",23,"",13,"",15,"",5,""
2434,202001,N411H,826,"",64,"",22,"",21,"",17,"",4,""
2435,202002,N411H,721,"",54,"",22,"",16,"",14,"",2,""
2436,202003,N411H,594,"",91,"",48,"",10,"",33,"",0,""
2437,202004,N411H,39,"",2,"",1,"",0,"",0,"",1,""
2438,202005,N411H,159,"",7,"",2,"",4,"",0,"",1,""
2439,202006,N411H,175,"",9,"",6,"",3,"",0,"",0,""
2440,202007,N411H,225,"",14,"",3,"",6,"",5,"",0,""
2441,202008,N411H,234,"",19,"",5,"",8,"",3,"",3,""
2442,202009,N411H,327,"",14,"",12,"",1,"",1,"",0,""
2443,202010,N411H,444,"",30,"",16,"",11,"",3,"",0,""
2444,202011,N411H,514,"",28,"",17,"",6,"",3,"",2,""
2445,202012,N411H,515,"",53,"",30,"",7,"",15,"",1,""
2446,202101,N411H,467,"",44,"",25,"",5,"",11,"",3,""
2447,202102,N411H,444,"",40,"",15,"",6,"",19,"",0,""
2448,202103,N411H,531,"",59,"",16,"",12,"",28,"",3,""
2449,202104,N411H,560,"",44,"",19,"",8,"",15,"",2,""
2450,202105,N411H,500,"",38,"",12,"",11,"",12,"",3,""
2451,202106,N411H,392,"",48,"",11,"",3,"",31,"",3,""
2452,202107,N411H,414,"",40,"",16,"",6,"",18,"",0,""
2453,202108,N411H,359,"",33,"",8,"",10,"",14,"",1,""
2454,202109,N411H,434,"",36,"",10,"",9,"",11,"",6,""
2455,202110,N411H,423,"",41,"",10,"",14,"",14,"",3,""
2456,202111,N411H,389,"",30,"",12,"",11,"",5,"",2,""
2457,202112,N411H,415,"",27,"",9,"",8,"",7,"",3,""
2458,202201,N411H,323,"",27,"",10,"",10,"",2,"",5,""
2459,202202,N411H,414,"",45,"",18,"",9,"",15,"",3,""
2460,202203,N411H,368,"",34,"",11,"",5,"",16,"",2,""
2461,202204,N411H,345,"",28,"",11,"",9,"",6,"",2,""
2462,202205,N411H,433,"",21,"",11,"",5,"",3,"",2,""
2463,202206,N411H,442,"",44,"",16,"",8,"",17,"",3,""
2464,202207,N411H,409,"",33,"",15,"",7,"",10,"",1,""
2465,202208,N411H,324,"",139,"",12,"",0,"",125,"",2,""
2466,202209,N411H,146,"",18,"",6,"",1,"",10,"",1,""
2467,202210,N411H,341,"",31,"",11,"",3,"",16,"",1,""
2468,202211,N411H,320,"",29,"",10,"",2,"",15,"",2,""
2469,202212,N411H,249,"",35,"",18,"",0,"",17,"",0,""
2470,201505,R101H,182,"",40,"",30,"",3,"",5,"",2,""
2471,201506,R101H,165,"",11,"",4,"",0,"",7,"",0,""
2472,201507,R101H,168,"",15,"",3,"",4,"",8,"",0,""
2473,201508,R101H,182,"",11,"",1,"",1,"",6,"",3,""
2474,201509,R101H,162,"",13,"",9,"",1,"",3,"",0,""
2475,201510,R101H,247,"",30,"",5,"",9,"",11,"",5,""
2476,201511,R101H,206,"",18,"",6,"",7,"",3,"",2,""
2477,201512,R101H,199,"",17,"",8,"",8,"",0,"",1,""
2478,201601,R101H,152,"",15,"",9,"",3,"",0,"",3,""
2479,201602,R101H,205,"",18,"",8,"",1,"",9,"",0,""
2480,201603,R101H,237,"",22,"",6,"",6,"",10,"",0,""
2481,201604,R101H,211,"",22,"",3,"",3,"",16,"",0,""
2482,201605,R101H,229,"",25,"",9,"",4,"",12,"",0,""
2483,201606,R101H,224,"",22,"",8,"",5,"",9,"",0,""
2484,201607,R101H,188,"",10,"",0,"",3,"",7,"",0,""
2485,201608,R101H,197,"",13,"",4,"",5,"",3,"",1,""
2486,201609,R101H,228,"",11,"",5,"",2,"",1,"",3,""
2487,201610,R101H,182,"",10,"",6,"",2,"",0,"",2,""
2488,201611,R101H,207,"",15,"",6,"",2,"",3,"",4,""
2489,201612,R101H,178,"",12,"",9,"",1,"",1,"",1,""
2490,201701,R101H,205,"",12,"",8,"",2,"",1,"",1,""
2491,201702,R101H,176,"",11,"",6,"",1,"",0,"",4,""
2492,201703,R101H,239,"",21,"",16,"",2,"",1,"",2,""
2493,201704,R101H,177,"",9,"",3,"",1,"",2,"",3,""
2494,201705,R101H,192,"",11,"",7,"",1,"",2,"",1,""
2495,201706,R101H,191,"",16,"",8,"",5,"",1,"",2,""
2496,201707,R101H,176,"",9,"",4,"",1,"",1,"",3,""
2497,201708,R101H,175,"",11,"",2,"",2,"",2,"",5,""
2498,201709,R101H,162,"",7,"",4,"",1,"",0,"",2,""
2499,201710,R101H,219,"",22,"",11,"",9,"",1,"",1,""
2500,201711,R101H,253,"",18,"",12,"",2,"",3,"",1,""
2501,201712,R101H,209,"",6,"",4,"",0,"",0,"",2,""
2502,201801,R101H,227,"",12,"",5,"",3,"",1,"",3,""
2503,201802,R101H,204,"",12,"",7,"",4,"",0,"",1,""
2504,201803,R101H,286,"",16,"",10,"",1,"",2,"",3,""
2505,201804,R101H,215,"",9,"",6,"",3,"",0,"",0,""
2506,201805,R101H,230,"",7,"",3,"",2,"",2,"",0,""
2507,201806,R101H,212,"",8,"",5,"",1,"",1,"",1,""
2508,201807,R101H,209,"",12,"",8,"",2,"",0,"",2,""
2509,201808,R101H,224,"",20,"",9,"",3,"",8,"",0,""
2510,201809,R101H,224,"",9,"",5,"",4,"",0,"",0,""
2511,201810,R101H,234,"",20,"",8,"",7,"",5,"",0,""
2512,201811,R101H,273,"",14,"",5,"",4,"",5,"",0,""
2513,201812,R101H,211,"",11,"",9,"",0,"",2,"",0,""
2514,201901,R101H,227,"",21,"",7,"",3,"",6,"",5,""
2515,201902,R101H,229,"",17,"",4,"",6,"",5,"",2,""
2516,201903,R101H,265,"",20,"",12,"",3,"",3,"",2,""
2517,201904,R101H,252,"",21,"",7,"",6,"",8,"",0,""
2518,201905,R101H,315,"",16,"",8,"",5,"",3,"",0,""
2519,201906,R103H,98,"",7,"",4,"",1,"",2,"",0,""
2520,201907,R103H,305,"",16,"",7,"",3,"",6,"",0,""
2521,201908,R103H,305,"",19,"",13,"",5,"",1,"",0,""
2522,201909,R103H,329,"",16,"",5,"",4,"",7,"",0,""
2523,201910,R103H,276,"",15,"",9,"",1,"",5,"",0,""
2524,201911,R103H,318,"",16,"",11,"",2,"",3,"",0,""
2525,201912,R103H,299,"",16,"",11,"",2,"",3,"",0,""
2526,202001,R103H,302,"",22,"",10,"",5,"",7,"",0,""
2527,202002,R103H,306,"",17,"",13,"",2,"",2,"",0,""
2528,202003,R103H,298,"",50,"",8,"",1,"",37,"",4,""
2529,202004,R103H,73,"",4,"",0,"",0,"",4,"",0,""
2530,202005,R103H,124,"",5,"",0,"",0,"",5,"",0,""
2531,202006,R103H,183,"",5,"",2,"",0,"",3,"",0,""
2532,202007,R103H,281,"",9,"",2,"",1,"",6,"",0,""
2533,202008,R103H,279,"",10,"",4,"",3,"",3,"",0,""
2534,202009,R103H,228,"",8,"",2,"",1,"",5,"",0,""
2535,202010,R103H,239,"",14,"",4,"",4,"",6,"",0,""
2536,202011,R103H,239,"",16,"",6,"",4,"",6,"",0,""
2537,202012,R103H,232,"",15,"",4,"",0,"",11,"",0,""
2538,202101,R103H,202,"",16,"",9,"",4,"",3,"",0,""
2539,202102,R103H,246,"",23,"",10,"",5,"",8,"",0,""
2540,202103,R103H,263,"",12,"",2,"",6,"",4,"",0,""
2541,202104,R103H,230,"",13,"",4,"",2,"",7,"",0,""
2542,202105,R103H,232,"",9,"",2,"",3,"",4,"",0,""
2543,202106,R103H,274,"",16,"",6,"",2,"",8,"",0,""
2544,202107,R103H,275,"",19,"",2,"",1,"",16,"",0,""
2545,202108,R103H,289,"",16,"",5,"",5,"",6,"",0,""
2546,202109,R103H,249,"",15,"",4,"",1,"",10,"",0,""
2547,202110,R103H,275,"",24,"",6,"",1,"",17,"",0,""
2548,202111,R103H,312,"",25,"",8,"",4,"",13,"",0,""
2549,202112,R103H,282,"",27,"",9,"",11,"",7,"",0,""
2550,202201,R103H,202,"",16,"",9,"",3,"",4,"",0,""
2551,202202,R103H,303,"",24,"",11,"",5,"",7,"",1,""
2552,202203,R103H,323,"",39,"",14,"",4,"",21,"",0,""
2553,202204,R103H,308,"",19,"",10,"",4,"",5,"",0,""
2554,202205,R103H,298,"",27,"",6,"",7,"",13,"",1,""
2555,202206,R103H,281,"",40,"",8,"",19,"",13,"",0,""
2556,202207,R103H,258,"",29,"",4,"",4,"",21,"",0,""
2557,202208,R103H,214,"",16,"",8,"",1,"",7,"",0,""
2558,202209,R103H,264,"",15,"",9,"",3,"",3,"",0,""
2559,202210,R103H,240,"",15,"",11,"",1,"",3,"",0,""
2560,202211,R103H,298,"",29,"",5,"",3,"",16,"",5,""
2561,202212,R103H,225,"",41,"",6,"",2,"",21,"",12,""
2562,201505,S113H,119,"",19,"",14,"",0,"",0,"",5,""
2563,201505,S116H,1197,"",187,"",97,"",19,"",3,"",68,""
2564,201505,S225H,478,"",73,"",33,"",26,"",7,"",7,""
2565,201505,S308H,1127,"",124,"",54,"",8,"",2,"",60,""
2566,201505,S314H,1357,"",89,"",27,"",23,"",11,"",28,""
2567,201505,S316H,417,"",59,"",29,"",5,"",4,"",21,""
2568,201506,S113H,152,"",16,"",11,"",0,"",0,"",5,""
2569,201506,S116H,1360,"",221,"",105,"",20,"",7,"",89,""
2570,201506,S225H,608,"",60,"",33,"",22,"",3,"",2,""
2571,201506,S308H,1460,"",184,"",103,"",18,"",3,"",60,""
2572,201506,S314H,1517,"",102,"",43,"",28,"",12,"",19,""
2573,201506,S316H,535,"",66,"",34,"",5,"",1,"",26,""
2574,201507,S113H,98,"",20,"",10,"",1,"",0,"",9,""
2575,201507,S116H,1143,"",176,"",86,"",26,"",12,"",52,""
2576,201507,S225H,507,"",63,"",24,"",28,"",9,"",2,""
2577,201507,S308H,1193,"",157,"",93,"",19,"",9,"",36,""
2578,201507,S314H,1201,"",120,"",36,"",40,"",17,"",27,""
2579,201507,S316H,335,"",51,"",25,"",0,"",7,"",19,""
2580,201508,S113H,113,"",10,"",6,"",2,"",0,"",2,""
2581,201508,S116H,1266,"",189,"",98,"",65,"",12,"",14,""
2582,201508,S225H,469,"",43,"",20,"",17,"",6,"",0,""
2583,201508,S308H,1270,"",129,"",71,"",28,"",18,"",12,""
2584,201508,S314H,1485,"",93,"",35,"",31,"",19,"",8,""
2585,201508,S316H,443,"",53,"",31,"",9,"",10,"",3,""
2586,201509,S113H,151,"",32,"",12,"",3,"",17,"",0,""
2587,201509,S116H,1332,"",205,"",96,"",58,"",23,"",28,""
2588,201509,S225H,559,"",66,"",29,"",28,"",9,"",0,""
2589,201509,S308H,1363,"",140,"",79,"",29,"",12,"",20,""
2590,201509,S314H,1432,"",98,"",30,"",42,"",20,"",6,""
2591,201509,S316H,520,"",59,"",34,"",7,"",3,"",15,""
2592,201510,S113H,113,"",17,"",13,"",2,"",1,"",1,""
2593,201510,S116H,1359,"",228,"",114,"",48,"",25,"",41,""
2594,201510,S225H,516,"",82,"",39,"",27,"",14,"",2,""
2595,201510,S308H,1467,"",146,"",76,"",29,"",19,"",22,""
2596,201510,S314H,1425,"",102,"",36,"",30,"",21,"",15,""
2597,201510,S316H,558,"",65,"",26,"",8,"",11,"",20,""
2598,201511,S113H,169,"",27,"",16,"",11,"",0,"",0,""
2599,201511,S116H,1572,"",317,"",206,"",63,"",34,"",14,""
2600,201511,S225H,499,"",76,"",26,"",29,"",21,"",0,""
2601,201511,S308H,1483,"",176,"",80,"",43,"",18,"",35,""
2602,201511,S314H,1427,"",91,"",30,"",33,"",23,"",5,""
2603,201511,S316H,551,"",62,"",37,"",6,"",6,"",13,""
2604,201512,S113H,142,"",26,"",14,"",6,"",6,"",0,""
2605,201512,S116H,1394,"",236,"",150,"",53,"",23,"",10,""
2606,201512,S225H,563,"",95,"",53,"",27,"",15,"",0,""
2607,201512,S308H,1257,"",136,"",65,"",41,"",17,"",13,""
2608,201512,S314H,1451,"",89,"",22,"",39,"",19,"",9,""
2609,201512,S316H,542,"",106,"",43,"",15,"",41,"",7,""
2610,201601,S113H,150,"",26,"",20,"",2,"",3,"",1,""
2611,201601,S116H,1350,"",224,"",121,"",50,"",38,"",15,""
2612,201601,S225H,467,"",64,"",29,"",16,"",19,"",0,""
2613,201601,S308H,1214,"",148,"",103,"",25,"",11,"",9,""
2614,201601,S314H,1196,"",116,"",23,"",41,"",41,"",11,""
2615,201601,S316H,458,"",67,"",18,"",9,"",37,"",3,""
2616,201602,S113H,131,"",21,"",15,"",3,"",2,"",1,""
2617,201602,S116H,1560,"",262,"",141,"",64,"",45,"",12,""
2618,201602,S225H,518,"",110,"",62,"",29,"",17,"",2,""
2619,201602,S308H,1369,"",143,"",72,"",43,"",9,"",19,""
2620,201602,S314H,1362,"",154,"",23,"",46,"",64,"",21,""
2621,201602,S316H,517,"",45,"",24,"",11,"",2,"",8,""
2622,201603,S113H,163,"",7,"",5,"",2,"",0,"",0,""
2623,201603,S116H,1565,"",288,"",179,"",70,"",23,"",16,""
2624,201603,S225H,510,"",118,"",56,"",26,"",36,"",0,""
2625,201603,S308H,1386,"",146,"",68,"",36,"",18,"",24,""
2626,201603,S314H,1386,"",115,"",39,"",33,"",33,"",10,""
